TEAM/YEAR,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918,1917,1916,1915,1914,1913,1912,1911,1910,1909,1908,1907,1906,1905,1903
Angels (10),1 (9),8*,7*,6,5,4,3,2,1,0,4,3,2,1,0,0,0,1,0,0,1,0,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,3,2,1,0,2,1,0,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tigers (16),1 (9),8,7,6,5,4,3,2,1,0,0,0,0,4,3,2,1,0,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,2,1,0,11,10,9,8,7,6,5,4,3,2,1,0,3,2,1,0,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,4,3,2,1,0,4,3,2,1,0,0,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,0,3*,2*,1*
Pirates (17),3 (8),7,6,5,4,3,2,1,0,0,0,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,0,10,9,8,7,6,5,4,3,2,1,0,3,2,1,0,0,1,0,0,0,9,8,7,6,5,4,3,2,1,0,32*,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,0,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,4,3,2,1,0
Royals (9),3 (8),7,6,5,4,3,2,1,0,0,27*,26*,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,2,1,0,0,1,0,0,0,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockies (5),5 (5),4,3,2,1,0,0,7,6,5,4,3,2,1,0,1,0,11,10,9,8,7,6,5,4,3,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationals (6),6 (4),3,2,1,0,1,0,0,1,0,1,0,29*,28*,27*,26*,25*,24*,23*,22*,21*,20*,19*,18*,17*,16*,15*,14*,13,12,11,10,9,8,7,6,5,4,3,2,1,0,12,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athletics (29),7 (3),2,1,0,0,0,3,2,1,0,0,0,5,4,3,2,1,0,2,1,0,0,0,0,6,5,4,3,2,1,0,1,0,0,0,6,5,4,3,2,1,0,5,4,3,2,1,0,0,0,0,0,39*,38*,37*,36*,35*,34*,33*,32*,31*,30*,29*,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,0,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,1,0,0,4,3,2,1,0,1*
Cubs (21),7 (3),2,1,0,1,0,0,0,0,6,5,4,3,2,1,0,0,3,2,1,0,4,3,2,1,0,7,6,5,4,3,2,1,0,4,3,2,1,0,38*,37*,36*,35*,34*,33*,32*,31*,30*,29*,28*,27*,26*,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,6,5,4,3,2,1,0,2,1,0,2,1,0,2,1,0,10,9,8,7,6,5,4,3,2,1,0,7,6,5,4,3,2,1,0,1,0,0,0,2*,1*
Reds (16),7 (3),2,1,0,6,5,4,3,2,1,0,0,1,0,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,3,2,1,0,10,9,8,7,6,5,4,3,2,1,0,2,1,0,0,1,0,0,1,0,8,7,6,5,4,3,2,1,0,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,15*,14*,13*,12*,11*,10*,9*,8*,7*,6*,5*,4*,3*,2*,1*
Giants (27),10 (2),1,0,4,3,2,1,0,1,0,1,0,1,0,6,5,4,3,2,1,0,0,1,0,2,1,0,6,5,4,3,2,1,0,1,0,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,8,7,6,5,4,3,2,1,0,7,6,5,4,3,2,1,0,2,1,0,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,2,1,0,8,7,6,5,4,3,2,1,0,0,0,0,3,2,1,0,3,2,1,0,0,0,5,4,3,2,1,0,1*
Red Sox (25),10 (2),1,0,2,1,0,0,0,2,1,0,3,2,1,0,0,0,1,0,0,0,3,2,1,0,0,2,1,0,3,2,1,0,1,0,1,0,10,9,8,7,6,5,4,3,2,1,0,7,6,5,4,3,2,1,0,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,0,0,2,1,0,7,6,5,4,3,2,1,0
White Sox (11),10 (2),1,0,0,11,10,9,8,7,6,5,4,3,2,1,0,2,1,0,4,3,2,1,0,5,4,3,2,1,0,9,8,7,6,5,4,3,2,1,0,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,39*,38*,37*,36*,35*,34*,33*,32*,31*,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,0,10,9,8,7,6,5,4,3,2,1,0,2*,1*
Cardinals (32),13 (1),0,0,0,0,3,2,1,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,3,2,1,0,7,6,5,4,3,2,1,0,1,0,2,1,0,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,2,1,0,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,0,0,0,7,6,5,4,3,2,1,0,2,1,0,0,1,0,1,0,22*,21*,20*,19*,18*,17*,16*,15*,14*,13*,12*,11*,10*,9*,8*,7*,6*,5*,4*,3*,2*,1*
Indians (16),13 (1),0,1,0,1,0,0,0,2,1,0,5,4,3,2,1,0,5,4,3,2,1,0,1,0,0,0,0,0,39*,38*,37*,36*,35*,34*,33*,32*,31*,30*,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,5,4,3,2,1,0,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,16*,15*,14*,13*,12*,11*,10*,9*,8*,7*,6*,5*,4*,3*,2*,1*
Mariners (5),13 (1),0,20,19*,18*,17*,16*,15*,14*,13,12,11,10,9,8,7,6,5,4,3,2,1,0,0,2,1,0,1,0,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mets (10),13 (1),0,5,4,3,2,1,0,0,8,7,6,5,4,3,2,1,0,5,4,3,2,1,0,0,9,8,7,6,5,4,3,2,1,0,1,0,12,11,10,9,8,7,6,5,4,3,2,1,0,3,2,1,0,7,6,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
